ExpName,ExpNo,Epoch,ReconstLoss,TotalVQLoss,TotalConceptLoss,TotalLoss,Perplexity
model_,0,1,503.2472110822176,0.16826130512345117,0.0007643641206414031,503.41623560587567,20560.088765881806
model_,0,2,498.4003604513903,0.16686386789903432,0.0006723999265432212,498.56793848673504,18684.676542373985
model_,0,3,490.998131170248,0.1656013970108082,0.000557986249532405,491.16430282592773,16145.280344065095
model_,0,4,481.92101648201543,0.1644026455517936,0.00042764515103499434,482.0858681996663,13497.43284369449
model_,0,5,472.0675715599209,0.16315165794367203,0.00027884827647994825,472.23096974690753,11112.283357272037
model_,0,6,462.18535791896284,0.16157085725232415,0.00011050623294295292,462.34705352783203,9143.424430177965
model_,0,7,452.8642285872872,0.15901578728759583,1.9342869951088915e-05,453.0232849121094,7607.17074096108
model_,0,8,444.0593074001372,0.1555041652197057,3.4446967620560542e-06,444.21482340494794,6393.836895782093
model_,0,9,435.41285498347133,0.15155853555431045,5.512581577882258e-07,435.5643895467122,5390.860355157343
model_,0,10,427.1536955181509,0.14733791104178331,9.852253360365104e-08,427.30104128519696,4580.088420841896
model_,0,11,419.5695145310213,0.14300878358092936,3.838308883924446e-08,419.71251678466797,3943.4330473100754
model_,0,12,412.8615469845633,0.1393073802513148,2.0662650403180383e-08,413.0008722941081,3454.4950290096863
model_,0,13,407.1812329065676,0.13621463145924886,8.524396521991662e-09,407.3174591064453,3088.1761440334685
model_,0,14,402.44141108356416,0.1334389694032628,3.790519670712755e-09,402.5748653411865,2812.4184677351036
model_,0,15,398.51779793854803,0.13090747855676454,1.8906717202038167e-10,398.64870580037433,2602.8734006083264
model_,0,16,395.2512980994458,0.1286285235946707,1.8906717202038167e-10,395.3799336751302,2440.3823029414516
model_,0,17,392.5430257568757,0.12657438594396808,1.8906717202038167e-10,392.66961606343585,2313.3796774952148
model_,0,18,390.29070673199993,0.12468676444162459,1.8906717202038167e-10,390.41538492838544,2212.807644468435
model_,0,19,388.40117027362186,0.12292718169919681,1.8906717202038167e-10,388.52410252888996,2131.815415236491
model_,0,20,386.80055016993236,0.12128217091109643,1.8906717202038167e-10,386.9218393961589,2065.530724202589
model_,0,21,385.4151989010473,0.11976854022456489,1.8906717202038167e-10,385.5349540710449,2009.826917362997
model_,0,22,384.1445178282447,0.11839936168447214,1.8906717202038167e-10,384.26291910807294,1960.055756851107
model_,0,23,382.987170146623,0.11714438185299514,1.8906717202038167e-10,383.10431416829425,1915.797068794614
model_,0,24,381.94433526849997,0.11598761583081796,1.8906717202038167e-10,382.0603319803874,1876.7741049955202
model_,0,25,380.9838239030602,0.11491177235863385,1.8906717202038167e-10,381.09873453776044,1841.5352880651656
model_,0,26,380.1065228160781,0.11390042804305267,1.8906717202038167e-10,380.220417658488,1809.92772477766
model_,0,27,379.28898199042305,0.11294453766277002,1.8906717202038167e-10,379.4019425710042,1780.9617361389166
model_,0,28,378.51932846878964,0.11203367769424706,1.8906717202038167e-10,378.63136227925617,1754.11619303344
model_,0,29,377.7817651606941,0.11117147702195022,1.8906717202038167e-10,377.8929335276286,1728.7697408709455
model_,0,30,377.0954563958415,0.11033893050444021,1.8906717202038167e-10,377.205779393514,1705.5137238871362
model_,0,31,376.4500949174787,0.10954833004082805,1.8906717202038167e-10,376.5596529642741,1683.9307155578797
model_,0,32,375.8088000818777,0.10878374914500455,1.8906717202038167e-10,375.91759999593097,1662.7542697185372
model_,0,33,375.1781367638614,0.10805856579039148,1.8906717202038167e-10,375.28620529174805,1642.1886303216338
model_,0,34,374.5736115580269,0.10737380321067273,1.8906717202038167e-10,374.68100929260254,1622.7141531355423
model_,0,35,373.97812334735255,0.10671897502834327,1.8906717202038167e-10,374.08483695983887,1603.7566038564516
model_,0,36,373.39732479148853,0.106092552109961,1.8906717202038167e-10,373.50341033935547,1585.4800709171718
model_,0,37,372.83246094399755,0.10548374848197757,1.8906717202038167e-10,372.9379514058431,1567.9047788894538
model_,0,38,372.29891217119683,0.10490049184045347,1.8906717202038167e-10,372.403813680013,1551.4827905050668
model_,0,39,371.7687117778502,0.104342349492678,1.8906717202038167e-10,371.87305132548016,1535.3342505260566
model_,0,40,371.25239367358154,0.10381115158937367,1.8906717202038167e-10,371.356206258138,1519.7700817142997
model_,0,41,370.75326264158747,0.10330159693330643,1.8906717202038167e-10,370.85656547546387,1504.874014265544
model_,0,42,370.2602737551788,0.10280704938547085,1.8906717202038167e-10,370.3630650838216,1490.3045790381145
model_,0,43,369.78596391276614,0.10231875127768338,1.8906717202038167e-10,369.88828468322754,1476.4203255613306
model_,0,44,369.3257325265925,0.10184206820304098,1.8906717202038167e-10,369.4275767008464,1463.0718446302183
model_,0,45,368.88613273912534,0.10139460222065584,1.8906717202038167e-10,368.9875297546387,1450.434465829202
model_,0,46,368.4328160911488,0.10096666542206852,1.8906717202038167e-10,368.5337880452474,1437.5170701274583
model_,0,47,368.013144879403,0.1005556474392506,1.8906717202038167e-10,368.1136957804362,1425.660984057001
model_,0,48,367.58568576250883,0.10015635045844344,1.8906717202038167e-10,367.68582280476886,1413.6854007418067
model_,0,49,367.17038104410557,0.09976570033116634,1.8906717202038167e-10,367.27016576131183,1402.1466849098097
model_,0,50,366.75986129889014,0.0993869858408895,1.8906717202038167e-10,366.85925610860187,1390.8334757480586
model_,0,51,366.3678580165627,0.09902224439974816,1.8906717202038167e-10,366.4668884277344,1380.1157559965316
model_,0,52,365.9722512670439,0.09867044788704031,1.8906717202038167e-10,366.0709171295166,1369.383244971405
